Type of Test	Tensile - Round				
Crosshead Rate	4	mm/min	
Material	Aluminum 6061				
Geometry	Circular				
Diameter	7.07	mm			
Area	39.258	mm^2			
Hardness	44				
Rockwell Scale	HRB				
Grip Diameter (Hardness correction)	12.74	mm			
Gage Length (Extensometer)	25.4	mm			
Fracture Type and Location	Brittle failure but shear causes failure to be at a 45 degree angle. 				
Final Diameter	6.62	mm			
					
Time	Extension	Load	Strain 1		
(sec)	(mm)	(N)	(mm/mm)		
0	0	53.33	0.00005		
0.5	0.03	569.7	0.0002615		
1	0.07	1047	0.0004661		
1.5	0.1	1377	0.0006076		
2	0.13	1637	0.0007304		
2.5	0.17	1849	0.0008209		
3	0.2	2043	0.0009131		
3.5	0.23	2221	0.0009866		
4	0.27	2400	0.001062		
4.5	0.3	2582	0.001142		
5	0.33	2767	0.001221		
5.5	0.37	2957	0.001306		
6	0.4	3143	0.001385		
6.5	0.43	3331	0.001463		
7	0.47	3518	0.001541		
7.5	0.5	3703	0.001624		
8	0.53	3889	0.001721		
8.5	0.57	4068	0.001803		
9	0.6	4239	0.001882		
9.5	0.63	4415	0.001959		
10	0.67	4593	0.002038		
10.5	0.7	4776	0.002117		
11	0.73	4955	0.002203		
11.5	0.77	5137	0.002287		
12	0.8	5319	0.002373		
12.5	0.83	5508	0.002459		
13	0.87	5694	0.002543		
13.5	0.9	5882	0.00263		
14	0.93	6074	0.002734		
14.5	0.97	6266	0.002835		
15	1	6459	0.002933		
15.5	1.03	6656	0.003023		
16	1.07	6846	0.003113		
16.5	1.1	7046	0.003214		
17	1.13	7244	0.003321		
17.5	1.17	7442	0.003417		
18	1.2	7640	0.003525		
18.5	1.23	7840	0.00363		
19	1.27	8041	0.003725		
19.5	1.3	8242	0.003834		
20	1.33	8444	0.003957		
20.5	1.37	8638	0.004071		
21	1.4	8839	0.004179		
21.5	1.43	9038	0.004299		
22	1.47	9229	0.004429		
22.5	1.5	9422	0.004565		
23	1.53	9603	0.004717		
23.5	1.57	9775	0.004921		
24	1.6	9932	0.005174		
24.5	1.63	10070	0.005475		
25	1.67	10180	0.005859		
25.5	1.7	10270	0.006335		
26	1.73	10340	0.006896		
26.5	1.77	10400	0.007523		
27	1.8	10450	0.008194		
27.5	1.83	10500	0.008893		
28	1.87	10540	0.009627		
28.5	1.9	10580	0.01039		
29	1.93	10610	0.01117		
29.5	1.97	10640	0.01197		
30	2	10680	0.01277		
30.5	2.03	10700	0.01359		
31	2.07	10730	0.0144		
31.5	2.1	10760	0.01523		
32	2.13	10780	0.01606		
32.5	2.17	10810	0.01689		
33	2.2	10830	0.01773		
33.5	2.23	10860	0.01856		
34	2.27	10880	0.01933		
34.5	2.3	10910	0.02016		
35	2.33	10930	0.02101		
35.5	2.37	10950	0.02185		
36	2.4	10980	0.02267		
36.5	2.43	11000	0.02351		
37	2.47	11020	0.02435		
37.5	2.5	11040	0.02519		
38	2.53	11060	0.02604		
38.5	2.57	11080	0.02687		
39	2.6	11100	0.02769		
39.5	2.63	11130	0.02855		
40	2.67	11150	0.02937		
40.5	2.7	11170	0.03021		
41	2.73	11180	0.03106		
41.5	2.77	11200	0.03188		
42	2.8	11220	0.03273		
42.5	2.83	11240	0.03355		
43	2.87	11260	0.03441		
43.5	2.9	11280	0.03523		
44	2.93	11300	0.03607		
44.5	2.97	11320	0.03692		
45	3	11330	0.03774		
45.5	3.03	11350	0.03859		
46	3.07	11370	0.03942		
46.5	3.1	11390	0.04026		
47	3.13	11410	0.04107		
47.5	3.17	11420	0.0419		
48	3.2	11440	0.04275		
48.5	3.23	11460	0.04357		
49	3.27	11470	0.0444		
49.5	3.3	11490	0.04525		
50	3.33	11500	0.04608		
50.5	3.37	11520	0.04692		
51	3.4	11540	0.04778		
51.5	3.43	11550	0.04861		
52	3.47	11560	0.04945		
52.5	3.5	11580	0.05029		
53	3.53	11590	0.05114		
53.5	3.57	11610	0.05199		
54	3.6	11620	0.05281		
54.5	3.63	11630	0.05366		
55	3.67	11650	0.0545		
55.5	3.7	11660	0.05535		
56	3.73	11670	0.05619		
56.5	3.77	11690	0.05703		
57	3.8	11700	0.05787		
57.5	3.83	11710	0.05873		
58	3.87	11730	0.05958		
58.5	3.9	11740	0.06043		
59	3.93	11750	0.06127		
59.5	3.97	11760	0.0621		
60	4	11770	0.06296		
60.5	4.03	11790	0.06381		
61	4.07	11800	0.06466		
61.5	4.1	11810	0.0655		
62	4.13	11820	0.06637		
62.5	4.17	11830	0.06722		
63	4.2	11840	0.06807		
63.5	4.23	11850	0.06893		
64	4.27	11860	0.06977		
64.5	4.3	11870	0.07064		
65	4.33	11880	0.07149		
65.5	4.37	11880	0.07236		
66	4.4	11890	0.07322		
66.5	4.43	11900	0.07408		
67	4.47	11910	0.07494		
67.5	4.5	11920	0.07581		
68	4.53	11930	0.07666		
68.5	4.57	11940	0.07753		
69	4.6	11940	0.07837		
69.5	4.63	11950	0.07923		
70	4.67	11960	0.0801		
70.5	4.7	11970	0.08095		
71	4.73	11970	0.08182		
71.5	4.77	11980	0.08267		
72	4.8	11990	0.08351		
72.5	4.83	11990	0.08437		
73	4.87	12000	0.08523		
73.5	4.9	12000	0.08609		
74	4.93	12010	0.08695		
74.5	4.97	12010	0.08779		
75	5	12020	0.08864		
75.5	5.03	12020	0.0895		
76	5.07	12030	0.09035		
76.5	5.1	12030	0.09119		
77	5.13	12040	0.09202		
77.5	5.17	12040	0.09284		
78	5.2	12050	0.09367		
78.5	5.23	12050	0.09452		
79	5.26	12050	0.09533		
79.5	5.3	12050	0.09615		
80	5.33	12060	0.09697		
80.5	5.37	12060	0.09775		
81	5.4	12060	0.09857		
81.5	5.43	12060	0.09934		
82	5.47	12060	0.1001		
82.5	5.5	12060	0.1009		
83	5.53	12060	0.1016		
83.5	5.57	12050	0.1023		
84	5.6	12050	0.103		
84.5	5.63	12050	0.1037		
85	5.67	12040	0.1044		
85.5	5.7	12030	0.105		
86	5.73	12020	0.1056		
86.5	5.77	12010	0.1062		
87	5.8	12000	0.1068		
87.5	5.83	11990	0.1073		
88	5.87	11970	0.1078		
88.5	5.9	11950	0.1083		
89	5.93	11920	0.1088		
89.5	5.97	11890	0.1093		
90	6	11860	0.1097		
90.5	6.03	11820	0.1101		
91	6.06	11770	0.1105		
91.5	6.1	11710	0.1109		
92	6.13	11650	0.1113		
92.5	6.17	11560	0.1117		
